step,mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj
0,1.0,0.75,0.75,0.5,0.875,0.375,0.625
58,0.375,0.625,0.625,0.75,0.5,0.25,0.375
123,0.875,0.625,0.875,0.375,0.875,0.625,0.125
202,0.75,0.625,0.5,0.75,0.875,0.25,0.75
262,0.625,0.75,0.625,0.625,0.75,0.625,0.125
335,0.75,0.75,0.625,0.125,0.75,0.625,0.125
405,0.75,0.875,0.75,0.375,0.75,0.125,0.625
466,0.5,0.75,0.625,0.375,0.625,0.5,0.125
548,0.5,0.625,0.5,0.375,0.625,0.5,0.125
606,0.625,0.5,0.375,0.375,0.625,0.25,0.125
678,0.625,0.875,0.75,0.5,0.75,0.5,0.25
751,0.625,0.375,0.75,0.125,0.75,0.75,0.125
813,0.625,0.625,0.75,0.125,0.75,0.625,0.125
