module,layer,PR_Omega,excess
self_attn.q_proj,0,4.208773961163658,1.1372488328463142
self_attn.k_proj,0,4.874693624828902,1.2937850007158378
self_attn.v_proj,0,37.28465731678607,1.1873398964225004
self_attn.o_proj,0,26.060166999512195,0.8981956911190009
mlp.gate_proj,0,31.49867132292519,0.8917512928394853
mlp.up_proj,0,35.04667574266791,0.6627082617623815
mlp.down_proj,0,58.81565527616348,0.7278452756412961
self_attn.q_proj,1,9.668141630047787,1.6638514231318262
self_attn.k_proj,1,21.516128728827812,1.688534404828874
self_attn.v_proj,1,22.271209714695573,3.0407725634933707
self_attn.o_proj,1,38.21516085400937,0.7090582842317668
mlp.gate_proj,1,43.30505291008704,0.7228072144297558
mlp.up_proj,1,51.802139971481786,0.36516624700274586
mlp.down_proj,1,70.79024880355577,1.0043398448389893
self_attn.q_proj,4,21.25681158374111,1.198917617013502
self_attn.k_proj,4,21.53336013420156,1.2361245560693355
self_attn.v_proj,4,16.922133449601997,1.500334773061073
self_attn.o_proj,4,146.4569903003734,0.5603193660080384
mlp.gate_proj,4,125.3580995057816,0.8036564004030331
mlp.up_proj,4,136.74364202773108,0.8996527595947896
mlp.down_proj,4,181.06655400887715,0.8805748910288509
self_attn.q_proj,8,39.31587154715141,1.0429056841124695
self_attn.k_proj,8,26.189186880255487,1.2384928253725749
self_attn.v_proj,8,11.44088268451363,1.0949765626018104
self_attn.o_proj,8,237.64461907490679,1.1203360239898
mlp.gate_proj,8,189.5714208519731,0.9066092555021709
mlp.up_proj,8,243.93755700613113,0.9087571934961768
mlp.down_proj,8,329.62307936810527,1.1706588618634157
self_attn.q_proj,12,38.3522185576278,1.0886883887059275
self_attn.k_proj,12,32.30970440656716,0.8349905613366331
self_attn.v_proj,12,21.862339932595987,0.9344813700767804
self_attn.o_proj,12,407.0971023434441,1.1415021054601489
mlp.gate_proj,12,392.234232808972,1.0552783044331182
mlp.up_proj,12,424.1858496520447,0.9613641127297752
mlp.down_proj,12,423.9243161459969,0.9460891687303004
self_attn.q_proj,16,27.16272911057171,0.8597533372343754
self_attn.k_proj,16,26.70411546510851,0.7437763506545293
self_attn.v_proj,16,22.754748595744832,0.7622506416006296
self_attn.o_proj,16,460.30648260469167,0.9332739015012363
mlp.gate_proj,16,693.2267573950624,0.8891177195480855
mlp.up_proj,16,533.992661778653,0.942836208180866
mlp.down_proj,16,440.9993657798285,0.9025259682300281
self_attn.q_proj,20,34.7286949036824,0.8503010191980015
self_attn.k_proj,20,37.779409093075884,1.0618346585457858
self_attn.v_proj,20,18.22465394716905,1.5394423966340884
self_attn.o_proj,20,338.5779769436996,1.109144329556558
mlp.gate_proj,20,493.41055541719925,0.7337518202208739
mlp.up_proj,20,511.18711238146506,0.7176855470282949
mlp.down_proj,20,303.03854986440035,0.9807797628939907
self_attn.q_proj,23,36.13767638660645,1.0286067996955794
self_attn.k_proj,23,37.53487643809472,2.620551348203208
self_attn.v_proj,23,52.916028272241874,2.8246974240264406
self_attn.o_proj,23,238.61699507118482,0.2563080504610024
mlp.gate_proj,23,369.36708217261395,0.8033190305672199
mlp.up_proj,23,35.36900890899339,0.8983865644922223
mlp.down_proj,23,91.88574350346504,0.8455214477942423
