name,layer,module,alpha
model.layers.0.self_attn.q_proj,0,self_attn.q_proj,1.497460955865135
model.layers.0.self_attn.k_proj,0,self_attn.k_proj,1.4974618212066324
model.layers.0.self_attn.v_proj,0,self_attn.v_proj,1.4974612581582496
model.layers.0.self_attn.o_proj,0,self_attn.o_proj,1.514168775341682
model.layers.0.mlp.gate_proj,0,mlp.gate_proj,1.0674427022644029
model.layers.0.mlp.up_proj,0,mlp.up_proj,1.0674423265478552
model.layers.0.mlp.down_proj,0,mlp.down_proj,1.2821095177107444
model.layers.1.self_attn.q_proj,1,self_attn.q_proj,1.0347817707870313
model.layers.1.self_attn.k_proj,1,self_attn.k_proj,1.0347806210928614
model.layers.1.self_attn.v_proj,1,self_attn.v_proj,1.0347810794919876
model.layers.1.self_attn.o_proj,1,self_attn.o_proj,1.2518183076490361
model.layers.1.mlp.gate_proj,1,mlp.gate_proj,0.9365893366431609
model.layers.1.mlp.up_proj,1,mlp.up_proj,0.9365892264578625
model.layers.1.mlp.down_proj,1,mlp.down_proj,1.733255576958736
model.layers.4.self_attn.q_proj,4,self_attn.q_proj,1.0289859518679623
model.layers.4.self_attn.k_proj,4,self_attn.k_proj,1.0289863414210312
model.layers.4.self_attn.v_proj,4,self_attn.v_proj,1.0289872226922927
model.layers.4.self_attn.o_proj,4,self_attn.o_proj,0.8093581327249099
model.layers.4.mlp.gate_proj,4,mlp.gate_proj,0.6670648351008147
model.layers.4.mlp.up_proj,4,mlp.up_proj,0.6670669212906648
model.layers.4.mlp.down_proj,4,mlp.down_proj,0.7231138715258874
model.layers.8.self_attn.q_proj,8,self_attn.q_proj,1.054999008951021
model.layers.8.self_attn.k_proj,8,self_attn.k_proj,1.0549984546510103
model.layers.8.self_attn.v_proj,8,self_attn.v_proj,1.0549997303104497
model.layers.8.self_attn.o_proj,8,self_attn.o_proj,0.7944498699715808
model.layers.8.mlp.gate_proj,8,mlp.gate_proj,0.6706676736991071
model.layers.8.mlp.up_proj,8,mlp.up_proj,0.670668430099381
model.layers.8.mlp.down_proj,8,mlp.down_proj,0.6448568343275072
model.layers.12.self_attn.q_proj,12,self_attn.q_proj,1.1487627417754342
model.layers.12.self_attn.k_proj,12,self_attn.k_proj,1.1487638193508851
model.layers.12.self_attn.v_proj,12,self_attn.v_proj,1.1487620733275583
model.layers.12.self_attn.o_proj,12,self_attn.o_proj,0.9023040731885469
model.layers.12.mlp.gate_proj,12,mlp.gate_proj,0.7434079885219733
model.layers.12.mlp.up_proj,12,mlp.up_proj,0.7434084372796405
model.layers.12.mlp.down_proj,12,mlp.down_proj,0.6947316069308044
model.layers.16.self_attn.q_proj,16,self_attn.q_proj,1.0931969758439775
model.layers.16.self_attn.k_proj,16,self_attn.k_proj,1.0931972049642167
model.layers.16.self_attn.v_proj,16,self_attn.v_proj,1.0931965043018625
model.layers.16.self_attn.o_proj,16,self_attn.o_proj,0.807821282929772
model.layers.16.mlp.gate_proj,16,mlp.gate_proj,0.7749498323686086
model.layers.16.mlp.up_proj,16,mlp.up_proj,0.7749496982326436
model.layers.16.mlp.down_proj,16,mlp.down_proj,0.6887447406252675
model.layers.20.self_attn.q_proj,20,self_attn.q_proj,0.8792831997671682
model.layers.20.self_attn.k_proj,20,self_attn.k_proj,0.8792827191679263
model.layers.20.self_attn.v_proj,20,self_attn.v_proj,0.8792825992723133
model.layers.20.self_attn.o_proj,20,self_attn.o_proj,0.8585903199148822
model.layers.20.mlp.gate_proj,20,mlp.gate_proj,0.680399539758846
model.layers.20.mlp.up_proj,20,mlp.up_proj,0.6803996657829232
model.layers.20.mlp.down_proj,20,mlp.down_proj,0.7198829937907488
model.layers.23.self_attn.q_proj,23,self_attn.q_proj,0.8090984147580211
model.layers.23.self_attn.k_proj,23,self_attn.k_proj,0.8090980548868372
model.layers.23.self_attn.v_proj,23,self_attn.v_proj,0.8090989389896635
model.layers.23.self_attn.o_proj,23,self_attn.o_proj,0.9497734586631855
model.layers.23.mlp.gate_proj,23,mlp.gate_proj,0.8162166705215004
model.layers.23.mlp.up_proj,23,mlp.up_proj,0.8162174483010151
model.layers.23.mlp.down_proj,23,mlp.down_proj,1.085527226505027
