name,R_raw_N256,adam_precond_norm,dW_erank
model.layers.0.self_attn.q_proj,1.0117346,669.9287719726562,6.070663928985596
model.layers.0.self_attn.k_proj,1.1875246,793.55322265625,5.4413018226623535
model.layers.0.self_attn.v_proj,1.1477187,702.5858764648438,5.812187671661377
model.layers.0.self_attn.o_proj,0.7130219,650.9029541015625,4.1911115646362305
model.layers.0.mlp.gate_proj,0.6265176,1375.291015625,3.853386163711548
model.layers.0.mlp.up_proj,0.63907474,1375.6859130859375,4.159016132354736
model.layers.0.mlp.down_proj,0.6140693,1358.3470458984375,8.192452430725098
model.layers.1.self_attn.q_proj,1.1207839,687.2387084960938,
model.layers.1.self_attn.k_proj,2.2120774,671.1339111328125,
model.layers.1.self_attn.v_proj,3.3102057,679.3598022460938,
model.layers.1.self_attn.o_proj,0.50404334,665.2972412109375,
model.layers.1.mlp.gate_proj,0.6582925,1344.216552734375,
model.layers.1.mlp.up_proj,0.73587376,1344.7340087890625,
model.layers.1.mlp.down_proj,1.0250556,1388.784423828125,
model.layers.4.self_attn.q_proj,0.8723167,794.0022583007812,
model.layers.4.self_attn.k_proj,1.072746,789.9448852539062,
model.layers.4.self_attn.v_proj,1.103753,786.2050170898438,
model.layers.4.self_attn.o_proj,0.6856917,801.6564331054688,
model.layers.4.mlp.gate_proj,0.82453126,1494.3953857421875,
model.layers.4.mlp.up_proj,0.81935775,1510.8109130859375,
model.layers.4.mlp.down_proj,0.8384555,1539.885986328125,
model.layers.8.self_attn.q_proj,1.0871108,781.44775390625,
model.layers.8.self_attn.k_proj,0.9190933,771.1469116210938,
model.layers.8.self_attn.v_proj,1.0609179,818.968017578125,
model.layers.8.self_attn.o_proj,0.9689532,822.9393310546875,
model.layers.8.mlp.gate_proj,0.8748667,1542.17822265625,
model.layers.8.mlp.up_proj,0.8686003,1573.6217041015625,
model.layers.8.mlp.down_proj,0.9000598,1615.001708984375,
model.layers.12.self_attn.q_proj,1.0350295,887.1027221679688,20.427669525146484
model.layers.12.self_attn.k_proj,0.86943114,859.2432250976562,24.62344741821289
model.layers.12.self_attn.v_proj,0.7237256,897.4722900390625,14.697422981262207
model.layers.12.self_attn.o_proj,0.9439722,867.4865112304688,15.244762420654297
model.layers.12.mlp.gate_proj,0.814351,1667.285400390625,20.039602279663086
model.layers.12.mlp.up_proj,0.80906105,1683.568115234375,18.599023818969727
model.layers.12.mlp.down_proj,0.84881353,1672.52099609375,18.43619155883789
model.layers.16.self_attn.q_proj,0.9391191,891.4812622070312,
model.layers.16.self_attn.k_proj,0.62887114,870.84521484375,
model.layers.16.self_attn.v_proj,0.6050714,887.3402709960938,
model.layers.16.self_attn.o_proj,0.8748096,861.272705078125,
model.layers.16.mlp.gate_proj,0.79032946,1684.5025634765625,
model.layers.16.mlp.up_proj,0.7909669,1688.7218017578125,
model.layers.16.mlp.down_proj,0.7514143,1667.96337890625,
model.layers.20.self_attn.q_proj,0.7563927,863.8329467773438,
model.layers.20.self_attn.k_proj,0.90723455,836.9735717773438,
model.layers.20.self_attn.v_proj,1.0382687,813.9800415039062,
model.layers.20.self_attn.o_proj,0.5908508,816.5654296875,
model.layers.20.mlp.gate_proj,0.7712806,1504.756591796875,
model.layers.20.mlp.up_proj,0.7619683,1544.7403564453125,
model.layers.20.mlp.down_proj,0.7323181,1566.08154296875,
model.layers.23.self_attn.q_proj,0.82783616,788.8864135742188,13.141928672790527
model.layers.23.self_attn.k_proj,1.8067153,778.834716796875,17.50275993347168
model.layers.23.self_attn.v_proj,2.4381895,793.6549682617188,6.066183090209961
model.layers.23.self_attn.o_proj,0.23232011,809.0750122070312,4.270334720611572
model.layers.23.mlp.gate_proj,0.7533869,1588.9439697265625,11.33548641204834
model.layers.23.mlp.up_proj,0.77282685,1621.6719970703125,14.139172554016113
model.layers.23.mlp.down_proj,0.85245425,1662.8154296875,11.38172435760498
